node_id,name,source,definition,properties
evid_HJZ6BVYE_ent.high_power_low_rin_fiber_laser_d20,365 W 超低 RIN 全光纤单频激光（Dixneuf 2020）,dixneuf2020,"全光纤主振荡器-功率放大器（MOPA），1064 nm，365 W 输出， 定制大模面积光纤（MFD = 30 μm），RIN 伺服 1 MHz 带宽。 无 SBS 或模式不稳定。
","{'beam_quality': 'M² < 1.1', 'output_power': '365 W (350 W isolated)', 'power_stability': '<0.7% RMS over 1100 hours', 'rin': '-160 dBc/Hz @ 2–10 kHz', 'servo_bandwidth': '1 MHz', 'wavelength': '1064 nm'}"
evid_P92ZFIAQ_ent.freespace_tf_link_113km_sh22,113 km 自由空间时频传递链路（Shen 2022）,shen2022,"跨 113 km 自由空间双向光学时频传递系统：两端（南山实验室↔高崖子实验室，海拔差 327 m） 各配超稳激光 + 两路高功率光频梳（250 MHz @1545 nm；200 MHz @1563 nm，均 1 W） + 线性光学采样（LOS）模块 + 400 mm 卡塞格林望远镜（含快速导星、自适应光学）。 正交偏振分离双向光路，可变形镜补偿大气波前畸变。
","{'comb_power': '1 W each', 'comb_wavelengths': '1545 nm (250 MHz), 1563 nm (200 MHz)', 'demonstrated_value': 40000000000.0, 'instability_10ks': '< 4×10⁻¹⁹', 'link_distance': '113 km', 'locations': ""南山（43°28'N, 87°10'E, 2109 m）↔ 高崖子（43°31'N, 88°34'E, 1782 m）"", 'telescope_aperture': '400 mm', 'time_offset': '6.3×10⁻²⁰ ± 3.4×10⁻¹⁹', 'usl_instability': '3×10⁻¹⁵ @ 1 s', 'usl_wavelength': '1550.12 nm', 'value_type': 'quantitative'}"
evid_2QU7BQ44_ent.field_deployed_dcs_c18,野外部署双梳光谱仪系统（Coburn 2018）,coburn2018,"集装箱/拖车式自主运行平台，发射稀疏分布的 km 尺度光束阵列覆盖多平方公里区域， Er:fiber 双梳光源 + 开放路径探测 + 大气反演模型实现： (1) 连续时间分辨的痕量气体浓度监测； (2) 空间多点反演定位气体源位置与流量； (3) 自动化 24/7 运行，应用于油气设施排放监管。
","{'beam_range': '~1 km 开放路径', 'detection_limit': '1.6 g/min @ 1 km（CH₄）', 'platform': '移动集装箱 + 可自主运行', 'region_coverage': '数平方公里', 'spectral_coverage': '~1550–1700 nm（Er:fiber 梳波段 + CH₄ 2ν₃ 带）', 'target_species': 'CH₄（主），CO₂ / H₂O / 其他 HITRAN 物种'}"
evid_HW9TAY3W_ent.sind_mi_kerr_comb_c18,SiN:D 微环 MI Kerr 微梳（Chiles 2018，1 THz FSR，900 nm 带宽）,chiles2018,"基于 SiN:D 微环谐振器（半径 23 μm，FSR ~1 THz，Q ~3.7×10⁵）的 调制不稳定性（MI）Kerr 微梳。CW 泵浦 @ 1555 nm，耦合功率 ~300 mW， 产生覆盖 ~1200-2100 nm（900 nm 带宽）的宽带频率梳。
","{'comb_bandwidth': '~900 nm（1200-2100 nm）', 'comb_type': 'modulation instability (MI)', 'demonstrated_value': 37000000000.0, 'fsr': '~1 THz', 'pump_power_coupled': '~300 mW', 'pump_wavelength': '1555 nm', 'quality_factor': '~3.7 × 10⁵', 'ring_radius': '23 μm', 'value_type': 'quantitative'}"
evid_WHNQC4FV_ent.fiber_comb_microwave_cs_fountain_m09b,光纤梳光生微波驱动 Cs 喷泉钟系统（Millo 2009b）,millo2009b,"Er:fiber 频率梳（frep ~ 250 MHz，内置 f-2f）+ 超稳光腔（1542 nm CW 参考）→ frep 倍频程（11.932 GHz） 光生微波输出 → 驱动 Cs 喷泉钟 Ramsey 光谱询问； 与 Ti:sapph 梳 / CSO（低温蓝宝石振荡器）比对，稳定度 ~3×10⁻¹⁵ @ 1-10 s； 喷泉钟性能 3.5×10⁻¹⁴ τ⁻¹/²（与 CSO 驱动时相当）...","{'demonstrated_value': 30000000000.0, 'fountain_clock_stability': '3.5×10⁻¹⁴ τ⁻¹/²', 'frep': '~250 MHz', 'microwave_output': '11.932 GHz（~48 次谐波）', 'microwave_stability': '~3×10⁻¹⁵ @ 1-10 s（Allan 偏差，与 Ti:sapph / CSO 三路比对）', 'optical_reference': '1542 nm 超稳 CW 激光（光腔锁定，<2×10⁻¹⁵ @ 1 s 拍频稳定度）', 'value_type': 'quantitative'}"
evid_ZSWYS26E_ent.multi_branch_er_comb_crds_r22,多支路 Er 光纤梳 CRDS 系统（Rao 2022, NTSC）,rao2022,"""9""字型全保偏 Er:fiber 锁模激光器（NALM 机制）→ 1500-1600 nm 直接输出； frep / fceo 双锁至外参考（自制 PLL）→ 稳定度 5.85×10⁻¹³ / 4.95×10⁻¹⁸ @ 1 s； 8 支路光谱扩展（啁啾放大 + 非线性展宽）→ 8 个目标波长（1064, 1083, 1240, 1380, 1500, 1600, 1750, 2100 nm）， ...","{'application': '光腔衰荡光谱（CRDS）测量 CO / CH₄', 'branches': '8（目标波长：1064, 1083, 1240, 1380, 1500, 1600, 1750, 2100 nm）', 'demonstrated_value': 58500000000.0, 'direct_output_spectrum': '1500-1600 nm', 'fceo_stability': '4.95×10⁻¹⁸ @ 1 s', 'frep_stability': '5.85×10⁻¹³ @ 1 s', 'mode_locking_mechanism': 'NALM（非线性放大环形镜）', 'power_per_mode': '> 300 nW（各目标波长）', 'value_type': 'quantitative'}"
evid_P7A5Z647_ent.npl_fiber_comb_transfer_system_m12,NPL 光频梳结构光纤传递系统（Marra 2012）,marra2012,"通过 km 级光纤传递 Er:fiber 频率梳的完整结构（所有梳齿 fn = n·f_rep + f_CEO）， 接收端解调出与发射端完全相位相干的梳齿频率： (1) 发射端 Er:fiber 梳（100 MHz f_rep）+ f-2f 自参考； (2) 光学相位探测（参考光 vs 光纤传输光）驱动 AOM + 光纤拉伸器主动噪声抵消； (3) 接收端光电探测 f_rep、f_beat 拍频，...","{'demonstrated_value': 30000000000.0, 'fiber_length': '数 km（主论文未明示具体值，文中提 50 km/86 km 参考报道）', 'link_stability': '光学模式稳定度 2×10⁻¹⁸ @ 数千秒；f_rep 稳定度 4×10⁻¹⁷', 'noise_cancellation': '光学相位探测 + AOM/光纤拉伸双执行器', 'reference': '梳齿锁至 Cs 原子钟溯源 RF（SI-s 溯源）', 'repetition_rate': '100 MHz（传递前后完整保留）', 'value_type': 'quantitative'}"
evid_AF34FGMU_ent.chip_photonic_mw_oscillator_k24,芯片光子微波振荡器（Kudelin 2024）,kudelin2024,"全集成光子微波振荡器：SiN 螺旋谐振器（Q ~1.6×10⁸）预稳 DFB 激光 → 微型 F-P 腔（6.3 mm，精细度~900,000，ULE，体积 <9 cm³）PDH 锁定 → SiN 双环微腔暗孤子梳（~20 GHz）两点 OFD 相位锁定 → MUTC 芯片探测器输出 20 GHz 微波。 全部光子元件可异质集成于单芯片，体积从数十升压缩至毫升量级。
","{'demonstrated_value': 16000000000.0, 'fp_cavity_finesse': '~900,000', 'fp_cavity_length': '6.3 mm', 'fp_cavity_volume': '<9 cm³', 'instability_1s': '1.7×10⁻¹⁵', 'laser_wavelengths': '1,557.3 nm 和 1,562.5 nm', 'output_frequency': '20 GHz', 'phase_noise_100Hz': '−96 dBc/Hz', 'phase_noise_10kHz': '−135 dBc/Hz', 'sin_resonator_Q': '~1.64×10⁸ (intrinsic), ~1.26×10⁸ (loaded)', 'value_type': 'quantitative'}"
evid_JN8JY9XG_ent.rf_transfer_via_comb_50km_l16,光频梳 50 km 光纤 RF 传输系统（Leng 2016）,leng2016,"将 100 MHz 参考信号编码在光频梳的重复频率中，通过 50 km 单模光纤传输至远端。 系统架构：(1) 本地端：参考信号 PLL 锁定光频梳 frep；(2) 光学窄带滤波器 （OBF，0.5 nm @ 1550 nm）从宽带梳中提取窄带光，大幅抑制色散展宽； (3) 光环行器实现双向传输——前向传至远端，远端 Faraday 镜反射回本地； (4) 本地混频器检测往返相位差，与倍频参考信...","{'compensation_scheme': '电学相位补偿（双向传输 + 混频检测）', 'demonstrated_value': 47000000000.0, 'fiber_length': '50 km（单模光纤）', 'instability_16400s': '4.7 × 10⁻¹⁸', 'instability_1s': '1.9 × 10⁻¹⁴', 'optical_filter_bandwidth': '0.5 nm @ 1550 nm', 'phase_detector': '光-微波相位检测器（OM-PD）', 'transfer_frequency': '100 MHz', 'value_type': 'quantitative'}"
evid_OELKER2019_ent.jila_dual_sr_clock_si_lo_o19,JILA 双 ⁸⁷Sr 光晶格钟 + Si cavity LO（Oelker 2019）,oelker2019,"Level 2 实例，PART-OF ent.optical_lattice_clock","{'demonstrated_value': 48000000000.0, 'instability_1s': '4.8×10⁻¹⁷', 'local_oscillator': 'PTB 563 nm Si cavity-stabilized laser', 'species': '²×⁸⁷Sr optical lattice clocks', 'value_type': 'quantitative'}"
evid_FIJXUVZV_ent.brewster_eom_t16,布儒斯特角 EOM（Tai 2016）,tai2016,"布儒斯特角切割的电光调制器，利用布儒斯特角入射 消除晶体界面的双折射效应，被动实现 ppm 级 RAM。 无需主动温度控制和偏压反馈。
","{'approach': 'passive (Brewster-angle cut)', 'demonstrated_value': 30000000000.0, 'ram_freq_instability': '<3×10⁻¹⁷ @ 1–1000 s', 'ram_level': 'few ppm', 'value_type': 'quantitative'}"
evid_IUCMUIEI_ent.fpga_multiloop_autolock_xia25,全数字多环路超稳激光自动锁定系统（Xia 2025）,xia2025,"基于单片 FPGA 实现的三环路（PDH + FNC + LPS）全数字自动锁定系统， 高速高精度 ADC/DAC 与 FPGA 协同，支持载波锁定和偏频锁定两种模式， 中断后 10 s 内自动复锁，快反馈环路开环带宽 1.3 MHz。
","{'demonstrated_value': 29000000000.0, 'digital_noise_contribution': '2.9×10⁻¹⁶ @ 1 s', 'fast_loop_bandwidth': '1.3 MHz', 'fnc_noise_suppression': '75 dB @ 1 Hz', 'instability_carrier_lock': '1.5×10⁻¹⁵ @ 1 s', 'instability_offset_lock': '2.5×10⁻¹⁵ @ 1 s', 'lps_noise_suppression': '40 dB @ 1 Hz', 'relock_time': '< 10 s', 'value_type': 'quantitative'}"
evid_9YYDT9H4_ent.hpf_spectrograph_m19,Habitable Zone Planet Finder (HPF) 低温真空 NIR echelle 光谱仪,metcalf2019,"1.5 m × 3 m 真空封装交叉色散 echelle 光谱仪，R = λ/Δλ ≈ 53 000，28 阶覆盖 810–1280 nm， 2048×2048 HgCdTe H2RG 探测器（截止 1.7 µm）。光学平台低温冷却 + mK 级温控。 三输入光纤（星光、sky、定标）同时工作以追踪漂移。每日 LN₂ 加液引起 15–20 m/s 热漂移， 需梳实时定标。
","{'daily_thermal_drift': '15–20 m/s 峰峰（主要来自 LN₂ 填充）', 'detector': '2048×2048 HgCdTe H2RG，截止 1.7 µm', 'resolving_power': 'R ≈ 53 000', 'spectral_range': '810–1280 nm（28 echelle 阶）', 'temperature_stability': 'mK 级（光学平台）'}"
evid_U5C8AJYM_ent.dual_branch_er_comb_rolland18,双分支 Er:fiber 频率梳系统（Rolland 2018）,rolland2018,"从单 Er:fiber 锁模振荡器（~1550 nm）分为两个非共路光纤分支： (a) IR 分支：EDFA + HNLF → 超连续 1000-2200 nm + 内嵌 PPLN 产生 fceo'（单分支）； (b) Vis 分支：EDFA + PPLN 倍频至 780 nm + HNLF → 超连续 500-1100 nm； 两分支在 ~1 µm 光谱重叠区域进行双分支干涉 → 测得 fceo...","{'IR_branch_span': '1000-2200 nm', 'VIS_branch_span': '500-1100 nm（780 nm SHG 后展宽）', 'demonstrated_value': 30000000000.0, 'differential_noise_cancellation': '主动锁 fceo_dual + 被动混频消除', 'out_of_loop_stability': '3×10⁻¹⁸ @ 1 s, 1×10⁻¹⁹ @ 1000 s（1560 nm → 780 nm）', 'overlap_region': '~1 µm（用于 dual-branch fceo 干涉）', 'repetition_rate': '~200 MHz（未明示精确值，标准 Er:fiber 量级）', 'ultimate_limit': '6×10⁻¹⁹ @ 1 s（共探测器理论极限）', 'value_type': 'quantitative'}"
evid_ST825B59_ent.ntsc_all_pm_5branch_comb_n20,国家授时中心全 PM 5分支 NALM Er:fiber 梳（Ning 2020）,ning2020,"全 PM 光纤架构 NALM 锁模 Er:fiber 振荡器（frep 未明示，~50-100 MHz 量级）→ NALM 自启锁模 + 低噪声； 输出经分支器 → 5 个应用端口，各自 PM-EDFA + 非线性展宽至目标波段（1064/1083/1380/1637/1750 nm）； fceo 锁至 RF 合成器，frep 锁至 UTC 溯源 RF； 各端口与 CW 激光拍频（SNR > 30...","{'application_wavelengths': '1064, 1083, 1380, 1637, 1750 nm', 'beat_snr': '> 30 dB @ 100 kHz RBW', 'branch_count': '5 application ports', 'demonstrated_value': 56000000000.0, 'fceo_stability': '5.6×10⁻¹⁸ @ 1 s (in-loop)', 'fiber_type': '全 PM（polarization-maintaining）光纤', 'frep_stability': '< 1.8×10⁻¹² @ 1 s (limited by counter noise floor)', 'mode_locking': 'NALM（非线性放大环镜）', 'target_application': 'CRDS 分子光谱（O₂, CO, 等）', 'value_type': 'quantitative'}"
evid_AZ25GQE3_ent.long_path_dcs_h24,113 km 开放大气双站双向双梳光谱系统（Han 2024）,han2024,"两端独立的双梳光谱实例：每端包含 Rb 原子钟 + 超稳激光（USL）+ Er 光纤梳（fr=250 MHz， fCEO+fBeat=0 锁定）+ 两级 EDFA（输出 1 W）+ 20 nm 滤光 + 400 mm/1600 mm 望远镜 + 低 NEP 平衡探测 + GPS 时钟同步（<30 ns）。两端梳重频差 Δfr=2.5 kHz， 经 113 km 水平大气互发互收，本地探测回波与本地...","{'altitude': '2109 m / 1782 m', 'center_wavelength': '1545 nm', 'channel_loss': '83 dB', 'comb_power_after_edfa': '1 W / 梳', 'comb_teeth_spanned': '~6000 对', 'frequency_resolution': '605 MHz（受 40% 干涉图截取限制）', 'gps_sync': '<30 ns', 'path_length': '113 km（Nanshan 43°28′N→Gaoyazi 43°31′N，新疆）', 'received_power_first_ifg': '>100 nW', 'received_power_subsequent': '>5 nW', 'repetition_difference': 'Δfr = 2.5 kHz', 'repetition_rate': 'fr = 250 MHz', 'spectral_3db_bandwidth': '~7 nm（≈50 cm⁻¹，6455.5–6505.5 cm⁻¹）', 'telescope_aperture': '400 mm', 'telescope_focal_length': '1600 mm', 'temperature_stability': 'σ_T = 7 mK（TEC 控温光学模块）'}"
evid_X6KNIXMW_ent.yb_fiber_comb_130w_cpa_l20,130 W Yb 光纤梳 CPA 系统（Luo 2020, ECNU）,luo2020,"Yb:fiber NPR 锁模振荡器（250 MHz）+ 光纤展宽器 + 三级 CPA 放大（LMA DC Yb-PCF） → 132 W 平均功率、180 fs 脉冲；grism 压缩器补偿 GVD + TOD； frep / fceo 双锁至 Rb 钟（长期稳定度 8.3×10⁻¹³ / 1.35×10⁻¹⁹ @ 1000 s）； 低噪声特性（高功率下相位噪声仍低）； 目标应用：UV / 中红...","{'average_power': '132 W（压缩后）', 'compressor': 'grism（GVD + TOD 补偿）', 'cpa_stages': '三级（LMA DC Yb-PCF 放大器）', 'demonstrated_value': 83000000000.0, 'fceo_stability': '1.35×10⁻¹⁹ @ 1000 s', 'frep': '250 MHz', 'frep_stability': '8.3×10⁻¹³ @ 1000 s（锁至 Rb 钟）', 'main_peak_energy_fraction': '~99%', 'pulse_duration': '180 fs', 'value_type': 'quantitative'}"
evid_BWR7TEZ6_ent.optical_frequency_standard,光学频率标准（通用）,fortier2026,"基于激光冷却囚禁原子/离子的窄线宽光学跃迁的频率标准。 分为三大类：（1）单离子钟（精度优先）；（2）光晶格钟（稳定度优先）；（3）核钟（新兴）。 当前最佳系统不确定度 ~10⁻¹⁹，分数频率不稳定度 ~10⁻¹⁷/√τ。 光钟的性能直接依赖询问激光的线宽和稳定度（跨专题接口到超稳激光专题）。
","{'best_instability': '~5×10⁻¹⁷/√τ（最佳光晶格钟，综述汇总）', 'best_systematic_uncertainty': '<10⁻¹⁸（多个系统）；5.5×10⁻¹⁹（²⁷Al⁺ NIST，综述汇总）', 'clock_laser_requirement': '线宽 <1 Hz；分数频率不稳定度 ~10⁻¹⁶–10⁻¹⁷ @ 1 s（跨专题引用，参见 topics/ultrastable-laser/papers/ 中各技术论文）', 'demonstrated_value': 50000000000.0, 'value_type': 'quantitative'}"
evid_RWPYUXTB_ent.all_pm_yb_nalm_comb_li17,全保偏 Yb:fiber NALM 自参考梳（Li 2017）,li2017b,"全保偏 Yb:fiber 光纤激光器，NALM 被动锁模，输出谱 1015–1070 nm； HNLF 超连续展宽至 650–1400 nm 覆盖倍频程；f-2f 干涉仪首次在全 PM Yb NALM 平台锁 f_CEO；与 1064 nm 超稳 CW 拍频锁 f_rep。in-loop 积分 相噪换算到光学频率得 ~10⁻¹⁹ @ 1 s fractional stability。
","{'cavity_type': '全 PM + NALM 锁模', 'cw_reference': '1064 nm 超稳 CW', 'fractional_stability_inloop_optical': '~10⁻¹⁹ @ 1 s（in-loop, 换算到光学频率）', 'gain_medium': 'Yb-doped 光纤', 'intensity_noise': '0.18% RIN（1 Hz–1 MHz 积分）', 'oscillator_spectrum': '1015–1070 nm', 'spectrum_after_hnlf': '650–1400 nm（覆盖倍频程）'}"
evid_bv4dl5z6_ent.uwa_265m_active_tiptilt_link_dm21,UWA 265 m 主动 tip-tilt 自由空间光频传递（Dix-Matthews 2021）,dix-matthews2021_bv4dl5z6,"Level 2 实例，PART-OF ent.free_space_optical_tf_link","{'active_optics': 'tip-tilt beam-wander suppression', 'demonstrated_value': 16000000000.0, 'fractional_instability': '1.6×10⁻¹⁹ @ 40 s', 'hold_duration': '> 1 h cycle-slip free', 'length': '265 m horizontal', 'phase_noise_at_1Hz': '2.7×10⁻⁶ rad²/Hz', 'value_type': 'quantitative'}"
evid_SOTA_P3,SOTA: Cryogenic Silicon Cavity,general_consensus,"Representative SOTA for Cryogenic Silicon cavities.","{'condition': 'Cryogenic temp (124K or below), Crystalline Si', 'demonstrated_value': 2.5000000000000006e-17, 'unit': 'sigma_y(1s)', 'value_type': 'quantitative'}"
evid_9RFKI5SH_ent.nalm_unit_z17,非线性放大环镜（NALM）子模块,zhang2017,"通过 50:50 光纤耦合器形成的环路，利用两束反向传播光的非线性相位差产生等效强度依赖反射率， 在本文方案中负责启动锁模、整形较宽脉冲。包含偏振控制器用于调节光纤双折射以优化相位差关系。
","{'coupler_ratio': '50:50', 'pulse_energy_limit': 'soliton fission 出现 → 单脉冲能量上限 ~0.75 nJ', 'role': '启动锁模 + 宽脉冲整形'}"
evid_cqtx6tyy_ent.ntsc_212km_cascaded_rf_link_q22,NTSC 212 km 级联城市 RF-over-fiber 链路（Quan 2022）,quan2022_cqtx6tyy,"Level 2 实例，PART-OF ent.rf_over_fiber_time_transfer_link","{'crosstalk_mitigation': 'different RF frequencies per stage', 'demonstrated_value': 62000000000.0, 'instability': '6.2×10⁻¹⁵ @1 s, 6.4×10⁻¹⁸ @40000 s', 'length': '212 km (2 × 106 km cascaded)', 'value_type': 'quantitative'}"
evid_592vc93u_ent.ntsc_56km_rf_precompensation_q21,NTSC 56 km 微波预补偿光纤传递（Quan 2021）,quan2021_592vc93u,"Level 2 实例，PART-OF ent.rf_over_fiber_time_transfer_link","{'crosstalk_mitigation': 'forward/backward use different microwave frequencies', 'demonstrated_value': 18000000000.0, 'instability': '1.8×10⁻¹⁵ @1 s, 4×10⁻¹⁸ @10⁴ s', 'length': '56 km', 'value_type': 'quantitative'}"
